,Order ID,FullDate,Total,Promo,Amount,Price,Name,Option,Packaging,Chilled,Frozen
0,6637423,19/11/2018 19:00,$98.24,$0,1,$6.95,Cabbage Long,Wombok,1.5kg,FALSE,FALSE
1,6637423,19/11/2018 19:00,$98.24,$0,1,$2.80,Red Cabbage,,1kg,FALSE,FALSE
2,6637423,19/11/2018 19:00,$98.24,$0,1,$4.99,123 ORGANIC Sweet Corn,,2 Count,FALSE,FALSE
3,6637423,19/11/2018 19:00,$98.24,$0,1,$2.80,Marigold 0% Fat Yoghurt Drink,Fruits and Vegetables with Wheatgrass,700g,TRUE,FALSE
4,6637423,19/11/2018 19:00,$98.24,$0,1,$2.75,Cowhead Organic Rolled Oats Baby,,500g,FALSE,FALSE
5,6637423,19/11/2018 19:00,$98.24,$0,1,$3.95,Arugula Wild Rocket,,100g,FALSE,FALSE
6,6637423,19/11/2018 19:00,$98.24,$0,1,$3.95,Chew's Organic Selenium Fresh Brown Eggs,,550g,FALSE,FALSE
7,6637423,19/11/2018 19:00,$98.24,$0,1,$2.65,Green Apple,,4 Count,FALSE,FALSE
8,6637423,19/11/2018 19:00,$98.24,$0,1,$6.07,Large Green Grape,Seedless,500g,FALSE,FALSE
9,6637423,19/11/2018 19:00,$98.24,$0,1,$2.60,Gala Apple,,4 Count,FALSE,FALSE
10,6637423,19/11/2018 19:00,$98.24,$0,1,$17.90,Pampers Premium Care Pants (Packaging may vary),Large,"34 ct,Suitable for 9-14 kg",FALSE,FALSE
11,6637423,19/11/2018 19:00,$98.24,$0,1,$18.70,Bertolli,"Olive Oil, Extra Virgin",1L,FALSE,FALSE
12,6637423,19/11/2018 19:00,$98.24,$0,1,$3.75,Kee Song Chicken Fillet,,300g (Halal),TRUE,FALSE
13,6637423,19/11/2018 19:00,$98.24,$0,1,$2.90,Vesta Rubber Gloves 30 Cm (Large),,,FALSE,FALSE
14,6637423,19/11/2018 19:00,$98.24,$0,1,$6.63,Harpic Active Cleaning Gel Value Pack,Lavender,500 ml (Pack of 3),FALSE,FALSE
15,6637423,19/11/2018 19:00,$98.24,$0,1,$2.95,Greenfields Fresh Full Cream Milk,,1L,TRUE,FALSE
16,6637423,19/11/2018 19:00,$98.24,$0,1,$5.90,Global Seasons Forelle Pears,,800g,FALSE,FALSE
17,7079840,23/10/2018 16:44,$46.67,-$10,1,$5.75,Kewpie Mayonnaise,,500g,FALSE,FALSE
18,7079840,23/10/2018 16:44,$46.67,-$10,1,$3.35,Capsicum 3 colour in 1,,(Pack of 3),FALSE,FALSE
19,7079840,23/10/2018 16:44,$46.67,-$10,1,$6.95,Long Cabbage,Wombok,1.5kg,FALSE,FALSE
20,7079840,23/10/2018 16:44,$46.67,-$10,1,$1.70,Shiitake Mushroom,,200g,FALSE,FALSE
21,7079840,23/10/2018 16:44,$46.67,-$10,1,$7.45,Serve Norwegian Salmon Portions by Hai Sia Seafood 240g,,,FALSE,FALSE
22,7079840,23/10/2018 16:44,$46.67,-$10,1,$1.99,123 ORGANIC Organic French Bean,,170g,FALSE,FALSE
23,7079840,23/10/2018 16:44,$46.67,-$10,1,$4.99,123 ORGANIC Sweet Corn,,2-count,FALSE,FALSE
24,7079840,23/10/2018 16:44,$46.67,-$10,1,$0.85,Red Spinach,,220g,FALSE,FALSE
25,7079840,23/10/2018 16:44,$46.67,-$10,1,$3.95,Arugula Wild Rocket,,100g,FALSE,FALSE
26,7079840,23/10/2018 16:44,$46.67,-$10,1,$6.93,Avocado,,3 Count,FALSE,FALSE
27,7079840,23/10/2018 16:44,$46.67,-$10,1,$1.10,Chinese Parsley Coriander Herb,,50g,FALSE,FALSE
28,7079840,23/10/2018 16:44,$46.67,-$10,1,$3.61,Baby Spinach,,100g,FALSE,FALSE
29,7079840,23/10/2018 16:44,$46.67,-$10,1,$3.50,"Blueberry,125g",,,FALSE,FALSE
30,7079840,23/10/2018 16:44,$46.67,-$10,1,$2.65,Ayam Brand Tuna Flakes in Water,Light,150g,FALSE,FALSE
31,7079840,23/10/2018 16:44,$46.67,-$10,1,$1.90,Cirio Canellini Beans,,410g,FALSE,FALSE
32,7871823,20/10/2018 21:33,$136.56,$0,1,$3.30,Ayam Brand Organic Coconut Milk,,400ML,FALSE,FALSE
33,7871823,20/10/2018 21:33,$136.56,$0,1,$0.90,Ayam Brand Trim Coconut Milk,,200ml,FALSE,FALSE
34,7871823,20/10/2018 21:33,$136.56,$0,1,$6.15,Ecomil Organic Almond Nature Calcium Drink,,1L,FALSE,FALSE
35,7871823,20/10/2018 21:33,$136.56,$0,1,$5.10,Ecomil Coconut Milk Nature Calcium Drink (Sugar Free),,1L,FALSE,FALSE
36,7871823,20/10/2018 21:33,$136.56,$0,1,$8.72,Treaclemoon One Ginger Morning Bath and Shower Gel,,500ml,FALSE,FALSE
37,7871823,20/10/2018 21:33,$136.56,$0,1,$4.70,Borges Pitted Black Olives,,285g,FALSE,FALSE
38,7871823,20/10/2018 21:33,$136.56,$0,1,$2.65,Green Apple,,4 Count,FALSE,FALSE
39,7871823,20/10/2018 21:33,$136.56,$0,1,$5.65,Nestle CHEERIOS Multi-Grain Cereal,,300g,FALSE,FALSE
40,7871823,20/10/2018 21:33,$136.56,$0,2,$17.95,Pampers Premium Care Pants (Packaging may vary),Large,"34 ct,Suitable for 9-14 kg",FALSE,FALSE
41,7871823,20/10/2018 21:33,$136.56,$0,1,$6.07,Quaker Oatmeal Squares,,411g,FALSE,FALSE
42,7871823,20/10/2018 21:33,$136.56,$0,1,$4.95,Emborg Cheddar Shredded Cheese,,200 Grams,FALSE,FALSE
43,7871823,20/10/2018 21:33,$136.56,$0,1,$3.95,Chew's Organic Selenium Fresh Brown Eggs,,,FALSE,FALSE
44,7871823,20/10/2018 21:33,$136.56,$0,2,$2.53,Dairy Farmers Yoghurt,Strawberry,150 g,FALSE,FALSE
45,7871823,20/10/2018 21:33,$136.56,$0,2,$2.53,Dairy Farmers Thick and Creamy,Pear & Cinnamon Yoghurt,150g,FALSE,FALSE
46,7871823,20/10/2018 21:33,$136.56,$0,2,$3.26,Pura Fresh Milk,,1L,FALSE,FALSE
47,7871823,20/10/2018 21:33,$136.56,$0,1,$2.60,Gala Apple,,4 Count,FALSE,FALSE
48,7871823,20/10/2018 21:33,$136.56,$0,1,$3.15,Red Cherry Tomato,,350g,FALSE,FALSE
49,7871823,20/10/2018 21:33,$136.56,$0,1,$2.50,Red Radish,,125g,FALSE,FALSE
50,7871823,20/10/2018 21:33,$136.56,$0,1,$2.80,Large Lime,,250g,FALSE,FALSE
51,7871823,20/10/2018 21:33,$136.56,$0,1,$6.07,Large Green Grape,Seedless,500g,FALSE,FALSE
52,7871823,20/10/2018 21:33,$136.56,$0,1,$3.50,Cauliflower,,450g,FALSE,FALSE
53,7871823,20/10/2018 21:33,$136.56,$0,1,$6.93,Avocado,,3 Count,FALSE,FALSE
54,7871823,20/10/2018 21:33,$136.56,$0,1,$1.73,Lemon,,3 Count,FALSE,FALSE
55,7871823,20/10/2018 21:33,$136.56,$0,1,$2.60,Broccoli,,300g,FALSE,FALSE
56,1780621,16/10/2018 20:53,$71.63,$0,1,$4.60,Beautex 2 PLY Soft Pack Facial Tissue,,200ct (Pack of 4),FALSE,FALSE
57,1780621,16/10/2018 20:53,$71.63,$0,2,$2.53,Dairy Farmers Yellow Box Yoghurt,Honey,150 g,FALSE,FALSE
58,1780621,16/10/2018 20:53,$71.63,$0,1,$4.95,Nice & Natural Superfruits Blueberry and Cranberry,,30g,FALSE,FALSE
59,1780621,16/10/2018 20:53,$71.63,$0,1,$6.93,Seedless Black Grapes,,500gm,FALSE,FALSE
60,1780621,16/10/2018 20:53,$71.63,$0,1,$3.60,L'Artisan 4 Butter Croissant Fresh,,170g,FALSE,FALSE
61,1780621,16/10/2018 20:53,$71.63,$0,1,$3.10,Kee Song Minced Chicken,,300 g (Halal),FALSE,FALSE
62,1780621,16/10/2018 20:53,$71.63,$0,1,$3.30,Pigeon Baby Wipes (Water Base),,30ct (Pack of 2),FALSE,FALSE
63,1780621,16/10/2018 20:53,$71.63,$0,1,$1.45,Japanese Cucumber,,250g,FALSE,FALSE
64,1780621,16/10/2018 20:53,$71.63,$0,1,$4.00,Premium Pear,Green,4 Count,FALSE,FALSE
65,1780621,16/10/2018 20:53,$71.63,$0,2,$3.50,"Blueberry,125g",,,FALSE,FALSE
66,1780621,16/10/2018 20:53,$71.63,$0,2,$2.53,Dairy Farmers Thick and Creamy,Pear & Cinnamon Yoghurt,150g,FALSE,FALSE
67,1780621,16/10/2018 20:53,$71.63,$0,1,$7.35,Yoplait Yoplus Light Natural Yoghurt,,1 kg,FALSE,FALSE
68,1780621,16/10/2018 20:53,$71.63,$0,1,$2.80,MARIGOLD 0% Fat Yoghurt Drink,Mixed Berries,700g,FALSE,FALSE
69,1780621,16/10/2018 20:53,$71.63,$0,1,$1.73,Lemon,,3 Count,FALSE,FALSE
70,1780621,16/10/2018 20:53,$71.63,$0,1,$3.95,Chew's Organic Selenium Fresh Brown Eggs,,,FALSE,FALSE
71,1780621,16/10/2018 20:53,$71.63,$0,1,$6.75,Avocado,,Australia (Pack of 3),FALSE,FALSE
72,3460603,12/10/2018 21:30,$178.08,-$5,1,$2.35,Ayam Brand Sardines in Tomato Sauce,,120g,FALSE,FALSE
73,3460603,12/10/2018 21:30,$178.08,-$5,1,$6.15,South Cape Greek Style Fetta Cheese,,200g,FALSE,FALSE
74,3460603,12/10/2018 21:30,$178.08,-$5,1,$9.95,Method Dish Soap Pack,"Ginger Yuzu, 532ml and Lime and Sea Salt",237ml,FALSE,FALSE
